vehicle_id,service_line,timestamp,latitude,longitude,delay_seconds
3300,T12,2026-05-05T11:31:24+00:00,52.272412,0.036712,0.0
3302,32,2026-05-04T18:24:01+00:00,52.077998,0.455332,0.0
3309,10,2026-05-05T15:03:28+00:00,52.412342,0.252416,0.0
3310,T12,2026-05-05T15:22:44+00:00,52.361083,0.05583,0.0
3312,9,2026-05-05T12:27:37+00:00,52.368965,0.243437,0.0
A2BV-RE24_TDZ,106,2026-05-05T15:22:41+00:00,53.43984,-3.046468,0.0
A2BV-RE24_VVC,811,2026-05-05T15:22:31+00:00,53.168675,-2.987191,0.0
A2BV-YJ10_MHK,1B,2026-05-05T15:22:45+00:00,53.396971,-3.122956,0.0
A2BV-YJ10_MHM,181,2026-05-05T15:22:41+00:00,53.330985,-3.103711,0.0
A2BV-YX74_OHE,175,2026-05-05T15:22:47+00:00,53.325955,-3.118833,0.0
A2BV-YX74_OHF,81,2026-05-05T15:22:37+00:00,53.373681,-3.181241,0.0
A2BV-YX74_OHG,73,2026-05-05T15:22:36+00:00,53.327833,-3.076626,0.0
A2BV-YX74_OHJ,91,2026-05-05T15:22:33+00:00,53.388913,-3.022518,0.0
ABNH-RE24_JYZ,82,2026-05-05T15:18:25+00:00,51.986351,-1.069729,0.0
704BYL,R2,2026-05-05T15:15:02+00:00,51.36591,-2.393721,0.0
YN54_AEY,R3,2026-05-05T15:17:26+00:00,51.390545,-2.389015,0.0
0658,42,2026-05-05T15:22:34+00:00,53.040976,-2.988593,0.0
0659,14,2026-05-05T15:22:35+00:00,53.048586,-2.995775,0.0
0660,35,2026-05-05T15:22:50+00:00,53.054625,-2.991676,0.0
0662,8,2026-05-05T15:22:41+00:00,53.050356,-2.995158,0.0
0671T,12,2026-05-05T15:22:30+00:00,53.074096,-3.051973,0.0
0672T,36,2026-05-05T15:22:36+00:00,53.31899,-3.488674,0.0
0675,24,2026-05-05T15:22:51+00:00,53.302185,-3.760071,0.0
0679,62,2026-05-05T15:22:34+00:00,53.327488,-4.228155,0.0
0680,14,2026-05-05T15:22:38+00:00,53.3208,-3.785636,0.0
0681,27,2026-05-05T15:22:47+00:00,53.286766,-3.7164,0.0
0682,23,2026-05-05T15:22:40+00:00,53.295608,-3.728395,0.0
0683,15,2026-05-05T15:22:52+00:00,53.310511,-3.759883,0.0
0684,27,2026-05-05T15:22:34+00:00,53.275425,-3.835035,0.0
0685,58,2026-05-04T17:52:39+00:00,53.227893,-4.125751,0.0
0686,58L,2026-05-05T15:22:39+00:00,53.294686,-4.138513,0.0
0690,25,2026-05-05T15:22:53+00:00,53.322343,-3.828385,0.0
0693,15,2026-05-05T15:22:51+00:00,53.287441,-3.675643,0.0
0694,26,2026-05-05T15:22:22+00:00,53.33071,-3.851546,0.0
0696,58P,2026-05-05T15:22:39+00:00,53.215961,-4.141576,0.0
0697,13,2026-05-05T10:48:35+00:00,53.324041,-3.835123,0.0
0700,84,2026-05-05T15:19:32+00:00,53.321158,-3.485475,0.0
0701,3,2026-05-05T15:22:50+00:00,53.047753,-2.996858,0.0
0702,12,2026-05-05T15:22:35+00:00,53.076413,-3.050655,0.0
0704,2,2026-05-05T15:22:47+00:00,53.048906,-2.99519,0.0
0705,2C,2026-05-05T15:22:40+00:00,53.025318,-3.033445,0.0
0707,35,2026-05-05T15:22:37+00:00,53.31605,-3.479158,0.0
0709,2A,2026-05-05T15:22:49+00:00,52.998668,-3.041885,0.0
0711,2C,2026-05-05T15:22:43+00:00,52.97015,-3.077171,0.0
0717,12,2026-05-05T14:57:46+00:00,53.0779,-3.058343,0.0
0726,13,2026-05-05T15:22:29+00:00,53.269718,-3.512293,0.0
0727,83,2026-05-05T15:22:53+00:00,53.319155,-3.488461,0.0
0728,13,2026-05-05T15:22:27+00:00,53.298991,-3.737778,0.0
0729,5,2026-05-05T15:22:32+00:00,53.218833,-4.104708,0.0
0730,14,2026-05-05T15:22:46+00:00,53.307943,-3.830876,0.0
1000,1,2026-05-05T15:22:49+00:00,53.061336,-2.990113,0.0
1001,1,2026-05-05T14:59:23+00:00,53.047875,-2.996525,0.0
1002,1,2026-05-05T15:22:53+00:00,53.169468,-2.90041,0.0
1003,1,2026-05-05T15:22:51+00:00,53.181188,-2.896306,0.0
1004,1,2026-05-05T15:22:40+00:00,53.149458,-2.917081,0.0
1005,5C,2026-05-05T15:17:10+00:00,53.047668,-2.996476,0.0
1006,2C,2026-05-05T15:22:48+00:00,53.031538,-3.02019,0.0
1007,1,2026-05-05T15:22:50+00:00,53.168985,-2.900685,0.0
1008,1,2026-05-05T15:22:36+00:00,53.04826,-2.99552,0.0
1009,5,2026-05-05T15:22:36+00:00,53.025366,-3.033356,0.0
1010,5,2026-05-05T15:22:36+00:00,52.970433,-3.17058,0.0
1011,1,2026-05-05T15:22:43+00:00,53.188738,-2.890486,0.0
1012,41,2026-05-05T15:22:30+00:00,53.04837,-2.995986,0.0
2145,11,2026-05-05T15:22:31+00:00,53.058176,-3.043448,0.0
2146,8,2026-05-05T15:22:35+00:00,53.050338,-2.995405,0.0
2147,4A,2026-05-05T15:22:44+00:00,53.006788,-3.04347,0.0
2148,11,2026-05-05T15:22:47+00:00,53.053128,-3.056145,0.0
2149,33,2026-05-05T15:22:33+00:00,53.086421,-2.996255,0.0
2150,33,2026-05-05T15:22:40+00:00,53.048365,-2.995916,0.0
2151,27,2026-05-05T15:22:21+00:00,53.062953,-3.014443,0.0
2152,6,2026-05-05T15:22:32+00:00,53.047506,-2.997211,0.0
2154,7,2026-05-05T15:22:52+00:00,53.049061,-2.981066,0.0
