file,hour,journeys
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,5,2
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,6,5
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,7,8
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,8,7
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,9,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,10,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,11,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,12,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,13,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,14,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,15,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,16,8
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,17,10
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,18,8
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,19,4
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,20,4
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,21,4
005-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_5_20260503-BODS_V1_1.xml,22,4
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,5,3
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,6,3
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,13,2
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,14,1
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,21,3
007-None--SCNH-Northampton_-2024-11-25-SCHEDULE_-_NN260503_v4_bod__SCNH_PF1118394_20_20260503-BODS_V1_1.xml,22,3
058-None--SCNH-Leamington-2024-10-07-LS260502__SCNH_PD0000479_271_20260509-BODS_V1_1.xml,8,2
058-None--SCNH-Leamington-2024-10-07-LS260502__SCNH_PD0000479_271_20260509-BODS_V1_1.xml,16,2
058-None--SCNH-Leamington_-2024-10-07-LS260425_-_final_Bods__SCNH_PD0000479_271_20260502-BODS_V1_1.xml,8,2
058-None--SCNH-Leamington_-2024-10-07-LS260425_-_final_Bods__SCNH_PD0000479_271_20260502-BODS_V1_1.xml,16,2
10-None--SSWL-WACW-2026-03-29-Cwmbran260329_Roster_New_Protocols__SSWL_PG0006630_358_20260413-BODS_V1_1.xml,8,4
10-None--SSWL-WACW-2026-03-29-Cwmbran260329_Roster_New_Protocols__SSWL_PG0006630_358_20260413-BODS_V1_1.xml,10,4
10-None--SSWL-WACW-2026-03-29-Cwmbran260329_Roster_New_Protocols__SSWL_PG0006630_358_20260413-BODS_V1_1.xml,12,4
10-None--SSWL-WACW-2026-03-29-Cwmbran260329_Roster_New_Protocols__SSWL_PG0006630_358_20260413-BODS_V1_1.xml,14,4
10-None--SSWL-WACW-2026-03-29-Cwmbran260329_Roster_New_Protocols__SSWL_PG0006630_358_20260413-BODS_V1_1.xml,16,4
