route,hour,journeys
10,8,4
10,10,4
10,12,4
10,14,4
10,16,4
101,0,2
101,4,1
101,5,7
101,6,10
101,7,14
101,8,18
101,9,22
101,10,22
101,11,22
101,12,22
101,13,22
101,14,22
101,15,19
101,16,20
101,17,20
101,18,19
101,19,16
101,20,11
101,21,10
101,22,9
101,23,4
103,6,2
103,7,2
103,8,6
103,9,8
103,10,8
103,11,8
103,12,8
103,13,8
103,14,8
103,15,8
103,16,8
103,17,8
103,18,6
103,19,4
103,20,4
103,21,4
103,22,4
104,8,4
104,9,4
104,10,4
104,11,4
104,12,4
104,13,4
104,14,4
104,15,4
104,16,4
104,17,4
107,2,3
107,4,12
107,5,6
107,6,13
107,7,8
107,8,12
107,9,10
107,10,11
107,11,10
107,12,11
107,13,10
107,14,11
107,15,10
107,16,10
107,17,9
107,18,9
107,19,8
107,20,11
107,21,6
107,22,9
107,23,2
109,5,2
109,6,8
109,7,8
109,8,7
109,9,7
109,10,8
109,11,8
109,12,8
109,13,8
109,14,9
109,15,7
109,16,8
109,17,8
109,18,6
109,19,2
112,5,1
112,6,2
112,7,3
112,8,5
112,9,4
112,10,5
112,11,5
112,12,5
112,13,5
112,14,5
112,15,5
112,16,3
112,17,5
112,18,3
112,19,4
112,20,2
116,5,2
116,6,9
116,7,14
116,8,16
116,9,21
116,10,22
116,11,22
116,12,22
116,13,22
116,14,22
116,15,21
116,16,19
116,17,19
116,18,18
116,19,13
116,20,11
116,21,10
116,22,9
116,23,8
120130,5,5
120130,6,14
120130,7,22
120130,8,17
120130,9,22
120130,10,18
120130,11,19
120130,12,19
120130,13,18
120130,14,19
120130,15,18
120130,16,18
120130,17,15
120130,18,13
120130,19,5
120130,20,6
120130,21,4
120130,22,8
120130,23,2
121,7,3
121,8,1
121,9,4
121,10,4
121,11,4
121,12,4
121,13,4
121,14,4
121,15,3
121,16,5
121,17,4
121,18,4
121,19,2
122,5,3
122,6,8
122,7,6
122,8,9
122,9,10
122,10,9
122,11,9
122,12,9
122,13,9
122,14,9
122,15,8
122,16,9
122,17,8
122,18,4
122,19,2
122,20,4
122,22,2
124,6,7
124,7,6
124,8,3
124,9,5
124,10,4
124,11,4
124,12,4
124,13,5
124,14,4
124,15,2
124,16,5
124,17,4
124,18,3
124,19,5
124,20,3
124,21,1
12A,5,1
12A,6,4
12A,7,3
12A,8,6
12A,9,6
12A,10,5
12A,11,4
12A,12,5
12A,13,5
12A,14,4
12A,15,5
12A,16,5
12A,17,4
12A,18,3
12A,19,2
12A,20,2
13,9,3
13,10,3
13,11,3
13,12,1
13,13,3
13,14,3
13,15,1
132,0,2
132,4,5
132,5,10
132,6,14
132,7,12
132,8,17
132,9,22
132,10,19
132,11,18
132,12,18
132,13,18
132,14,17
132,15,16
132,16,14
132,17,12
132,18,11
132,19,7
132,20,4
132,21,4
132,22,4
132,23,2
133,8,1
133,15,1
137,10,2
137,12,2
137,14,2
137,17,2
138,10,2
138,12,2
138,14,2
138,15,2
138,17,2
139,6,2
139,7,2
139,8,1
139,16,1
14,5,1
14,6,2
14,7,2
14,8,1
14,9,3
14,10,3
14,11,3
14,12,3
14,13,3
14,14,3
14,15,2
14,16,3
14,17,3
14,18,2
14,19,2
15,6,20
15,7,20
15,8,19
15,9,26
15,10,30
15,11,28
15,12,30
15,13,28
15,14,30
15,15,28
15,16,30
15,17,24
15,18,17
15,19,6
15,20,4
15,21,4
15,22,4
15,23,4
150,6,2
150,7,8
150,8,8
150,9,8
150,10,8
150,11,8
150,12,8
150,13,8
150,14,8
150,15,8
150,16,8
150,17,8
150,18,8
150,19,2
150,20,2
150,21,2
150,22,2
150,23,2
151,5,3
151,6,10
151,7,12
151,8,17
151,9,18
151,10,18
151,11,18
151,12,18
151,13,18
151,14,18
151,15,16
151,16,16
151,17,15
151,18,9
151,19,6
151,20,5
151,21,5
151,22,5
152,5,2
152,6,3
152,7,3
152,8,2
152,9,6
152,11,4
152,12,2
152,13,4
152,15,5
152,16,3
152,17,4
152,18,3
153,4,1
153,6,1
153,14,1
153,17,1
154,4,1
155,9,4
155,10,2
